Ax,Ay,Az,Gx,Gy,Gz
0,-640,15864,511,571,-83
0,-384,15924,256,569,-85
0,-364,15672,511,563,-106
0,-400,15736,511,580,-69
0,-416,15660,511,597,-99
0,-392,15908,256,585,-99
0,-320,15640,511,565,-31
0,-392,15660,511,562,-51
0,-400,15664,511,609,-69
0,-388,15692,511,562,-73
0,-364,15708,511,588,-73
0,-384,15748,511,563,-97
0,-420,15664,511,565,-73
0,-388,15640,511,585,-112
0,-400,15668,511,567,-87
0,-332,15664,511,565,-67
0,-396,15892,256,563,-102
0,-368,15656,511,574,-86
0,-332,15644,511,561,-72
0,-404,15892,256,556,-94
0,-328,15652,511,560,-68
0,-400,15696,511,594,-109
0,-380,15700,511,608,-46
0,-352,15616,511,556,-62
0,-392,15652,511,597,-84
0,-328,15656,511,556,-85
0,-412,15632,511,573,-79
0,-672,15860,511,594,-83
0,-344,15636,511,556,-70
0,-352,16000,256,572,-91
0,-296,15644,511,567,-76
0,-384,15920,256,607,-72
0,-348,15672,511,574,-82
0,-388,15988,256,559,-61
0,-336,15692,511,606,-48
0,-660,16116,256,546,-84
0,-632,15864,511,561,-56
0,-372,15912,256,564,-71
0,-320,15876,256,573,-63
0,-300,15668,511,585,-72
0,-384,15696,511,581,-64
0,-424,15708,511,587,-55
0,-380,15688,511,577,-100
0,-360,15688,511,578,-68
0,-368,15620,511,584,-74
0,-364,15988,256,583,-98
0,-428,15664,256,570,-45
0,-420,15628,511,555,-70
0,-300,15964,256,584,-100
0,-372,15652,511,574,-58
0,-620,15868,511,564,-98
0,-360,15936,256,544,-78
0,-352,15620,511,596,-89
0,-400,15928,256,592,-93
0,-440,15668,511,592,-61
0,-448,15664,511,576,-72
0,-380,15700,256,571,-77
0,-344,15660,511,578,-108
0,-316,15904,256,576,-96
0,-356,15652,511,574,-87
0,-288,15644,511,572,-68
0,-388,15688,511,619,-77
0,-364,15632,511,562,-76
0,-412,15672,511,567,-84
0,-432,15652,511,572,-83
0,-336,15908,256,583,-81
0,-344,15956,256,569,-81
0,-360,15648,511,579,-85
0,-560,16120,256,578,-75
0,-316,15640,511,575,-89
0,-380,15684,511,578,-91
0,-356,15720,511,584,-80
0,-356,15936,256,600,-85
0,-324,15668,511,591,-68
0,-408,15884,256,554,-89
0,-408,15688,511,550,-62
0,-616,15844,511,583,-66
0,-344,15644,511,563,-98
0,-340,15624,256,559,-71
0,-412,15656,511,542,-65
0,-592,15864,511,582,-56
0,-384,15908,256,575,-84
0,-400,15952,256,564,-122
0,-380,15656,511,565,-78
0,-356,15876,256,593,-113
0,-332,15924,256,581,-115
0,-400,15912,256,562,-69
0,-348,15908,256,550,-94
0,-364,15688,511,586,-84
0,-316,15892,256,588,-83
0,-384,15684,511,554,-77
0,-392,15924,256,585,-60
0,-420,15696,511,576,-88
0,-320,15656,511,576,-81
0,-392,15636,511,572,-99
0,-648,15848,511,576,-60
0,-404,15664,511,577,-81
0,-420,15980,256,583,-68
0,-376,15664,511,568,-57
0,-400,15924,256,546,-89
0,-308,15648,511,570,-118
0,-400,15940,256,576,-55
0,-336,15688,511,597,-69
0,-584,16124,256,587,-63
0,-364,15640,511,574,-78
0,-396,15948,256,577,-101
0,-628,16096,256,570,-78
0,-372,16000,256,572,-58
0,-392,15688,511,559,-95
0,-372,15636,511,595,-79
0,-624,15856,511,566,-103
0,-404,15916,256,570,-100
0,-356,15648,511,584,-69
0,-356,15928,256,565,-99
0,-320,15668,511,567,-68
0,-612,16112,256,587,-106
0,-404,15664,511,566,-94
0,-380,15972,256,536,-63
0,-412,15916,256,556,-85
0,-392,15684,511,581,-88
0,-368,15656,511,548,-64
0,-396,15696,511,558,-42
0,-424,15760,511,603,-98
0,-364,15892,256,560,-89
0,-360,15624,256,583,-66
0,-380,15724,511,558,-84
0,-348,15640,511,566,-91
0,-340,15684,511,576,-83
0,-424,15684,511,557,-103
0,-400,15652,511,582,-88
0,-400,15896,256,572,-71
0,-368,15632,511,573,-106
0,-400,15620,511,552,-72
0,-388,15948,256,576,-80
0,-384,15952,256,574,-91
0,-368,15960,256,530,-77
0,-612,15840,511,571,-102
0,-404,15648,511,576,-105
0,-364,15636,511,581,-91
0,-588,15804,511,554,-64
0,-376,15636,511,568,-88
0,-396,15888,256,592,-94
0,-352,15912,256,580,-75
0,-604,15868,511,564,-100
0,-416,15696,511,584,-73
0,-360,15624,511,573,-100
0,-364,15960,256,572,-88
0,-420,15644,511,592,-49
0,-420,15628,511,582,-81
0,-372,15696,511,571,-99
0,-396,15680,511,572,-94
0,-368,15628,511,559,-78
0,-380,15708,511,571,-103
0,-360,15908,256,583,-70
0,-448,15628,511,569,-83
0,-356,15892,256,556,-74
0,-412,15616,511,570,-73
0,-392,15876,256,587,-103
0,-372,15968,256,575,-80
0,-392,15648,511,566,-55
